,Model,Stock,Final Portfolio Value,Total Profit %
34,Specific Model,TSLA,9016.84,-9.83
30,Logistic Regression,TSLA,9144.12,-8.56
32,SVM,TSLA,9193.88,-8.06
16,Specific Model,INTC,9252.78,-7.47
14,SVM,INTC,9822.93,-1.77
29,Stacking,AMD,9920.74,-0.8
12,Logistic Regression,INTC,9921.06,-0.79
27,XGBoost,AMD,9921.48,-0.79
25,Random Forest,AMD,9921.48,-0.79
19,Random Forest,GOOG,9944.17,-0.56
21,XGBoost,GOOG,9956.8,-0.44
20,SVM,GOOG,9964.88,-0.35
18,Logistic Regression,GOOG,9969.69,-0.3
17,Stacking,INTC,9980.8,-0.2
13,Random Forest,INTC,9981.07,0.81
15,XGBoost,INTC,9981.07,0.81
23,Stacking,GOOG,9986.28,-0.14
24,Logistic Regression,AMD,10187.84,1.19
11,Stacking,MSFT,10278.36,2.78
26,SVM,AMD,10446.35,4.46
31,Random Forest,TSLA,10501.23,5.01
33,XGBoost,TSLA,10614.61,6.14
28,Specific Model,AMD,10742.8,7.43
35,Stacking,TSLA,10897.54,8.98
2,SVM,AAPL,10991.26,9.91
22,Specific Model,GOOG,11123.06,11.23
7,Random Forest,MSFT,11187.02,11.87
6,Logistic Regression,MSFT,11677.37,16.77
10,Specific Model,MSFT,11774.2,17.74
8,SVM,MSFT,11803.34,18.03
9,XGBoost,MSFT,11808.35,18.08
0,Logistic Regression,AAPL,12010.1,20.01
4,Specific Model,AAPL,12404.69,24.04
3,XGBoost,AAPL,12404.69,24.04
1,Random Forest,AAPL,12438.13,24.38
5,Stacking,AAPL,12560.38,25.6
